Signature Algorithm,Test Round,Rate Limit,Delay,Packet Loss,Success,Handshake Duration [ms]
sphincssha2256fsimple,1,10000.0,0,0,1,60.000961
sphincssha2256fsimple,2,10000.0,0,0,1,56.061181
sphincssha2256fsimple,3,10000.0,0,0,1,54.654846
sphincssha2256fsimple,4,10000.0,0,0,1,55.273446
sphincssha2256fsimple,5,10000.0,0,0,1,58.687267
sphincssha2256fsimple,6,10000.0,0,0,1,56.887164
sphincssha2256fsimple,7,10000.0,0,0,1,54.885104
sphincssha2256fsimple,8,10000.0,0,0,1,55.924504
sphincssha2256fsimple,9,10000.0,0,0,1,54.523043
sphincssha2256fsimple,10,10000.0,0,0,1,54.387118
sphincssha2256fsimple,11,10000.0,0,0,1,54.854747
sphincssha2256fsimple,12,10000.0,0,0,1,55.642799
sphincssha2256fsimple,13,10000.0,0,0,1,54.608076
sphincssha2256fsimple,14,10000.0,0,0,1,54.926341
sphincssha2256fsimple,15,10000.0,0,0,1,55.631145
sphincssha2256fsimple,16,10000.0,0,0,1,55.136972
sphincssha2256fsimple,17,10000.0,0,0,1,56.737092
sphincssha2256fsimple,18,10000.0,0,0,1,54.921268
sphincssha2256fsimple,19,10000.0,0,0,1,57.686854
sphincssha2256fsimple,20,10000.0,0,0,1,54.313524
sphincssha2256fsimple,21,10000.0,0,0,1,54.576992
sphincssha2256fsimple,22,10000.0,0,0,1,54.988158
sphincssha2256fsimple,23,10000.0,0,0,1,56.645953
sphincssha2256fsimple,24,10000.0,0,0,1,54.909877
sphincssha2256fsimple,25,10000.0,0,0,1,58.088872
sphincssha2256fsimple,26,10000.0,0,0,1,57.262999
sphincssha2256fsimple,27,10000.0,0,0,1,55.395085
sphincssha2256fsimple,28,10000.0,0,0,1,54.664755
sphincssha2256fsimple,29,10000.0,0,0,1,57.918329
sphincssha2256fsimple,30,10000.0,0,0,1,54.992312
sphincssha2256fsimple,31,10000.0,0,0,1,54.385534
sphincssha2256fsimple,32,10000.0,0,0,1,56.353115
sphincssha2256fsimple,33,10000.0,0,0,1,56.976665
sphincssha2256fsimple,34,10000.0,0,0,1,56.229711
sphincssha2256fsimple,35,10000.0,0,0,1,54.726280
sphincssha2256fsimple,36,10000.0,0,0,1,56.555258
sphincssha2256fsimple,37,10000.0,0,0,1,54.653850
sphincssha2256fsimple,38,10000.0,0,0,1,61.805555
sphincssha2256fsimple,39,10000.0,0,0,1,54.623180
sphincssha2256fsimple,40,10000.0,0,0,1,59.424040
sphincssha2256fsimple,41,10000.0,0,0,1,54.607665
sphincssha2256fsimple,42,10000.0,0,0,1,55.259108
sphincssha2256fsimple,43,10000.0,0,0,1,54.911965
sphincssha2256fsimple,44,10000.0,0,0,1,56.588612
sphincssha2256fsimple,45,10000.0,0,0,1,54.550346
sphincssha2256fsimple,46,10000.0,0,0,1,56.529185
sphincssha2256fsimple,47,10000.0,0,0,1,57.951282
sphincssha2256fsimple,48,10000.0,0,0,1,54.577262
sphincssha2256fsimple,49,10000.0,0,0,1,55.659204
sphincssha2256fsimple,50,10000.0,0,0,1,54.996108
sphincssha2256fsimple,51,10000.0,0,0,1,55.515657
sphincssha2256fsimple,52,10000.0,0,0,1,54.949490
sphincssha2256fsimple,53,10000.0,0,0,1,55.314811
sphincssha2256fsimple,54,10000.0,0,0,1,59.884070
sphincssha2256fsimple,55,10000.0,0,0,1,55.161361
sphincssha2256fsimple,56,10000.0,0,0,1,59.138868
sphincssha2256fsimple,57,10000.0,0,0,1,56.192520
sphincssha2256fsimple,58,10000.0,0,0,1,59.309157
sphincssha2256fsimple,59,10000.0,0,0,1,54.721294
sphincssha2256fsimple,60,10000.0,0,0,1,55.274507
sphincssha2256fsimple,61,10000.0,0,0,1,57.426219
sphincssha2256fsimple,62,10000.0,0,0,1,54.338192
sphincssha2256fsimple,63,10000.0,0,0,1,56.619389
sphincssha2256fsimple,64,10000.0,0,0,1,54.703399
sphincssha2256fsimple,65,10000.0,0,0,1,54.579869
sphincssha2256fsimple,66,10000.0,0,0,1,55.029579
sphincssha2256fsimple,67,10000.0,0,0,1,55.382878
sphincssha2256fsimple,68,10000.0,0,0,1,58.482643
sphincssha2256fsimple,69,10000.0,0,0,1,54.321355
sphincssha2256fsimple,70,10000.0,0,0,1,54.956296
sphincssha2256fsimple,71,10000.0,0,0,1,54.849440
sphincssha2256fsimple,72,10000.0,0,0,1,55.393160
sphincssha2256fsimple,73,10000.0,0,0,1,54.748872
sphincssha2256fsimple,74,10000.0,0,0,1,55.380953
sphincssha2256fsimple,75,10000.0,0,0,1,57.343537
sphincssha2256fsimple,76,10000.0,0,0,1,56.298030
sphincssha2256fsimple,77,10000.0,0,0,1,56.450880
sphincssha2256fsimple,78,10000.0,0,0,1,54.789168
sphincssha2256fsimple,79,10000.0,0,0,1,54.723063
sphincssha2256fsimple,80,10000.0,0,0,1,54.634978
sphincssha2256fsimple,81,10000.0,0,0,1,54.585560
sphincssha2256fsimple,82,10000.0,0,0,1,57.611925
sphincssha2256fsimple,83,10000.0,0,0,1,54.810521
sphincssha2256fsimple,84,10000.0,0,0,1,54.718754
sphincssha2256fsimple,85,10000.0,0,0,1,55.683944
sphincssha2256fsimple,86,10000.0,0,0,1,54.899532
sphincssha2256fsimple,87,10000.0,0,0,1,54.843780
sphincssha2256fsimple,88,10000.0,0,0,1,55.167330
sphincssha2256fsimple,89,10000.0,0,0,1,58.477945
sphincssha2256fsimple,90,10000.0,0,0,1,54.356630
sphincssha2256fsimple,91,10000.0,0,0,1,55.530336
sphincssha2256fsimple,92,10000.0,0,0,1,54.605078
sphincssha2256fsimple,93,10000.0,0,0,1,55.182287
sphincssha2256fsimple,94,10000.0,0,0,1,54.587489
sphincssha2256fsimple,95,10000.0,0,0,1,61.830331
sphincssha2256fsimple,96,10000.0,0,0,1,58.108966
sphincssha2256fsimple,97,10000.0,0,0,1,54.793394
sphincssha2256fsimple,98,10000.0,0,0,1,54.815351
sphincssha2256fsimple,99,10000.0,0,0,1,54.648894
sphincssha2256fsimple,100,10000.0,0,0,1,57.991192
sphincssha2256fsimple,1,10000.0,0,1,1,54.927575
sphincssha2256fsimple,2,10000.0,0,1,1,55.105433
sphincssha2256fsimple,3,10000.0,0,1,1,57.065759
sphincssha2256fsimple,4,10000.0,0,1,1,286.672977
sphincssha2256fsimple,5,10000.0,0,1,1,58.348827
sphincssha2256fsimple,6,10000.0,0,1,1,54.908230
sphincssha2256fsimple,7,10000.0,0,1,1,56.144654
sphincssha2256fsimple,8,10000.0,0,1,1,54.234075
sphincssha2256fsimple,9,10000.0,0,1,1,57.300521
sphincssha2256fsimple,10,10000.0,0,1,1,56.015262
sphincssha2256fsimple,11,10000.0,0,1,1,55.367260
sphincssha2256fsimple,12,10000.0,0,1,1,54.852376
sphincssha2256fsimple,13,10000.0,0,1,1,55.242391
sphincssha2256fsimple,14,10000.0,0,1,1,54.586774
sphincssha2256fsimple,15,10000.0,0,1,1,54.784617
sphincssha2256fsimple,16,10000.0,0,1,1,61.116535
sphincssha2256fsimple,17,10000.0,0,1,1,54.446774
sphincssha2256fsimple,18,10000.0,0,1,1,55.128117
sphincssha2256fsimple,19,10000.0,0,1,1,55.207680
sphincssha2256fsimple,20,10000.0,0,1,1,54.914596
sphincssha2256fsimple,21,10000.0,0,1,1,64.219154
sphincssha2256fsimple,22,10000.0,0,1,1,55.646550
sphincssha2256fsimple,23,10000.0,0,1,1,56.739423
sphincssha2256fsimple,24,10000.0,0,1,1,55.252660
sphincssha2256fsimple,25,10000.0,0,1,1,55.144138
sphincssha2256fsimple,26,10000.0,0,1,1,57.247211
sphincssha2256fsimple,27,10000.0,0,1,1,55.084224
sphincssha2256fsimple,28,10000.0,0,1,1,55.335404
sphincssha2256fsimple,29,10000.0,0,1,1,54.686411
sphincssha2256fsimple,30,10000.0,0,1,1,55.451247
sphincssha2256fsimple,31,10000.0,0,1,1,54.840662
sphincssha2256fsimple,32,10000.0,0,1,1,55.147718
sphincssha2256fsimple,33,10000.0,0,1,1,54.682814
sphincssha2256fsimple,34,10000.0,0,1,1,54.156420
sphincssha2256fsimple,35,10000.0,0,1,1,55.102782
sphincssha2256fsimple,36,10000.0,0,1,1,54.988459
sphincssha2256fsimple,37,10000.0,0,1,1,57.593962
sphincssha2256fsimple,38,10000.0,0,1,1,1086.658992
sphincssha2256fsimple,39,10000.0,0,1,1,54.415334
sphincssha2256fsimple,40,10000.0,0,1,1,55.262869
sphincssha2256fsimple,41,10000.0,0,1,1,54.447257
sphincssha2256fsimple,42,10000.0,0,1,1,54.709495
sphincssha2256fsimple,43,10000.0,0,1,1,266.036481
sphincssha2256fsimple,44,10000.0,0,1,1,54.584691
sphincssha2256fsimple,45,10000.0,0,1,1,54.632179
